A dinner invitation…,Gardening mishaps…,Someone you look up to…
A new gambit…,Gifts you’d like to receive…,Strange fish in the pond…
A place you’d like to visit…,Good jokes…,Tell me about yourself…
A strong battalion…,I heard some gossip…,Thanks for everything…
A word of advice…,I’m counting on you…,The ideal professor…
Cats…,Mighty weapons…,The last battle…
Children at the market…,Monastery rules…,The opera…
Close calls…,Monastery security…,The view from the bridge…
Cooking mishaps…,Our first meeting…,Things that bother you…
Equipment upkeep…,Overcoming weaknesses…,Working hours for guards…
1Exploring the monastery…,Past laughs…,Working together…
1Favorite sweets…,Perfect recipes…,You seem well…
1First crushes…,Plans for the future…,You’re doing great work…
1Fodlan’s future…,School days…,Your ambitions…
1Food in the dining hall…,Shareable snacks…,–
