A dinner invitation…,Gardening mishaps…,Tell me about yourself…
A new gambit…,Gifts you’d like to receive…,Thanks for everything…
A place you’d like to visit…,Guessing someone’s age…,The courtyard couple…
A word of advice…,Hopes for your future…,The ideal professor…
Books you’ve read recently…,I’m counting on you…,The ideal relationship…
Children at the market…,Kitchen catastrophes…,The last battle…
Close calls…,Likable allies…,The library’s collection…
Cooking mishaps…,Our first meeting…,The opera…
Cute monks…,Overcoming weaknesses…,Things that bother you…
Dining partners…,Past laughs…,Things you find romantic…
1Dreamy knights…,Perfect recipes…,Working together…
1Equipment upkeep…,Plans for the future…,You seem different…
1Evaluating allies…,Relaxing at the sauna…,You seem well…
1Exploring the monastery…,School days…,You’re doing great work…
1Fashion…,School uniforms…,Your ambitions…
1Favorite sweets…,Shareable snacks…,–
1Food in the dining hall…,Someone you look up to…,–
