A place you’d like to visit…,I heard some gossip…,Thanks for everything…
A word of advice…,I’m counting on you…,The courtyard couple…
Books you’ve read recently…,Insectivorous plants…,The ideal relationship…
Cats…,Likable allies…,The last battle…
Children at the market…,Our first meeting…,The library’s collection…
Close calls…,Overcoming weaknesses…,The view from the bridge…
Cooking mishaps…,Past laughs…,Things that bother you…
Cute monks…,Perfect recipes…,Things you find romantic…
Exploring the monastery…,Plans for the future…,You seem different…
Fashion…,School days…,You seem well…
1Favorite sweets…,School uniforms…,You’re doing great work…
1Food in the dining hall…,Shareable snacks…,–
1Gifts you’d like to receive…,Tell me about yourself…,–
