A dinner invitation…,Gardening mishaps…,Strange fish in the pond…
A new gambit…,Hopes for your future…,Tell me about yourself…
A strong battalion…,I heard some gossip…,Thanks for everything…
A word of advice…,I’m counting on you…,The existence of Crests…
Academy memories…,Likable allies…,The ideal relationship…
Capable comrades…,Mighty weapons…,The last battle…
Classes you might enjoy…,Monastery security…,Working hours for guards…
Close calls…,Our first meeting…,Working together…
Cooking mishaps…,Past laughs…,You seem well…
Equipment upkeep…,Potential training partners…,You’re doing great work…
1Evaluating allies…,School days…,Your ambitions…
1Exploring the monastery…,Shareable snacks…,–
1Food in the dining hall…,Someone you look up to…,–
