A new gambit…,I’m counting on you…,Tell me about yourself…
A place you’d like to visit…,Mighty weapons…,Thanks for everything…
A strong battalion…,Monastery rules…,The ideal professor…
A word of advice…,Monastery security…,The last battle…
Books you’ve read recently…,Our first meeting…,The library’s collection…
Children at the market…,Overcoming weaknesses…,The view from the bridge…
Close calls…,Past laughs…,Things that bother you…
Cooking mishaps…,Potential training partners…,Working hours for guards…
Equipment upkeep…,Reliable allies…,Working together…
Evaluating allies…,School days…,You seem well…
1Exploring the monastery…,Someone you look up to…,You’re doing great work…
1Fodlan’s future…,Sturdy weapons…,Your ambitions…
