A new gambit…,Gifts you’d like to receive…,Tell me about yourself…
A strong battalion…,Hopes for your future…,Thanks for everything…
A word of advice…,I heard some gossip…,The existence of Crests…
Books you’ve read recently…,I’m counting on you…,The ideal professor…
Capable comrades…,Monastery mysteries…,The last battle…
Cats…,Monastery rules…,The library’s collection…
Classes you might enjoy…,Monastery security…,The opera…
Close calls…,Our first meeting…,The view from the bridge…
Dreaming of lazy days…,Overcoming weaknesses…,Things that bother you…
Equipment upkeep…,Past laughs…,Things you find romantic…
1Evaluating allies…,Plans for the future…,You seem different…
1Exploring the monastery…,Reliable allies…,You’re doing great work…
1Favorite sweets…,School days…,Your ambitions…
1Fodlan’s future…,School uniforms…,–
