A place you’d like to visit…,Gardening mishaps…,Someone you look up to…
A word of advice…,Gifts you’d like to receive…,Strange fish in the pond…
Books you’ve read recently…,Guessing someone’s age…,Tell me about yourself…
Capable comrades…,I heard some gossip…,Thanks for everything…
Cats…,I’m counting on you…,The courtyard couple…
Children at the market…,Likable allies…,The library’s collection…
Classes you might enjoy…,Mixing pigments…,The opera…
Close calls…,Monastery mysteries…,The view from the bridge…
Cute monks…,Monastery rules…,Things that bother you…
Equipment upkeep…,Our first meeting…,Working together…
1Evaluating allies…,Overcoming weaknesses…,You seem different…
1Exploring the monastery…,Past laughs…,You seem well…
1First crushes…,Plans for the future…,You’re doing great work…
1Fodlan’s future…,School days…,–
