A dinner invitation…,Hopes for your future…,Someone you look up to…
A new gambit…,I’m counting on you…,Tell me about yourself…
A word of advice…,Likable allies…,Thanks for everything…
Capable comrades…,Monastery rules…,The existence of Crests…
Cute monks…,Our first meeting…,The ideal professor…
Dining partners…,Overcoming weaknesses…,The ideal relationship…
Dreamy knights…,Past laughs…,The opera…
Evaluating allies…,Plans for the future…,Things that bother you…
Exploring the monastery…,Relaxing at the sauna…,Things you find romantic…
Fashion…,Reliable allies…,Working together…
1First crushes…,Roses…,You seem different…
1Fodlan’s future…,School days…,You seem well…
1Gifts you’d like to receive…,School uniforms…,Your ambitions…
1Heart-racing memories…,Shareable snacks…,–
