A dinner invitation…,Gardening mishaps…,School days…
A strong battalion…,Gifts you’d like to receive…,Shareable snacks…
A word of advice…,Guessing someone’s age…,Tell me about yourself…
Best performance venues…,Heart-racing memories…,Thanks for everything…
Children at the market…,Hopes for your future…,The courtyard couple…
Classes you might enjoy…,I heard some gossip…,The ideal professor…
Close calls…,I’m counting on you…,The ideal relationship…
Cooking mishaps…,Likable allies…,The opera…
Cute monks…,Monastery security…,Things that bother you…
Dining partners…,Our first meeting…,Things you find romantic…
1Dreamy knights…,Overcoming weaknesses…,Working hours for guards…
1Exploring the monastery…,Past laughs…,Working together…
1Fashion…,Perfect recipes…,You seem well…
1Favorite sweets…,Plans for the future…,You’re doing great work…
1First crushes…,Relaxing at the sauna…,–
1Food in the dining hall…,Reliable allies…,–
