A dinner invitation…,Guessing someone’s age…,Someone you look up to…
A new gambit…,Heart-racing memories…,Strange fish in the pond…
A place you’d like to visit…,Hopes for your future…,Swimming in the ocean…
A strong battalion…,I’m counting on you…,Tell me about yourself…
A word of advice…,Likable allies…,Thanks for everything…
Books you’ve read recently…,Mighty weapons…,The ideal relationship…
Capable comrades…,Monastery mysteries…,The last battle…
Cats…,Monastery rules…,The library’s collection…
Classes you might enjoy…,Monastery security…,The view from the bridge…
Close calls…,Overcoming weaknesses…,Things you find romantic…
1Equipment upkeep…,Past laughs…,Working hours for guards…
1Evaluating allies…,Plans for the future…,Working together…
1Exploring the monastery…,Potential training partners…,You seem different…
1Fashion…,Relaxing at the sauna…,You seem well…
1Fodlan’s future…,School days…,You’re doing great work…
1Gifts you’d like to receive…,Shareable snacks…,Your ambitions…
